request_num, curr_time,time_total, time_namelookup, time_connect, time_appconnect, time_pretransfer, time_redirect, time_starttransfer, http_code
1,0,0.025, 0.000, 0.000, 0.000, 0.000, 0.000, 0.025, 200 
2,0,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
3,0,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
4,0,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
5,0,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
6,0,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
7,0,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
8,0,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
9,0,0.034, 0.000, 0.000, 0.000, 0.000, 0.000, 0.034, 200 
10,0,0.038, 0.000, 0.000, 0.000, 0.000, 0.000, 0.038, 200 
11,0,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
12,0,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
13,0,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
14,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
15,0,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
16,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
17,0,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
18,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
19,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
20,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
21,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
22,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
23,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
24,0,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
25,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
26,0,0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 200 
27,0,0.031, 0.000, 0.000, 0.000, 0.000, 0.000, 0.031, 200 
28,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
29,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
30,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
31,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
32,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
33,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
34,0,0.013, 0.000, 0.000, 0.000, 0.000, 0.000, 0.013, 200 
35,0,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
36,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
37,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
38,1,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
39,1,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
40,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
41,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
42,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
43,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
44,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
45,1,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
46,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
47,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
48,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
49,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
50,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
51,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
52,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
53,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
54,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
55,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
56,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
57,1,0.014, 0.000, 0.000, 0.000, 0.000, 0.000, 0.014, 200 
58,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
59,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
60,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
61,1,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
62,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
63,1,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
64,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
65,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
66,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
67,1,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
68,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
69,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
70,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
71,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
72,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
73,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
74,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
75,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
76,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
77,1,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
78,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
79,1,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
80,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
81,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
82,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
83,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
84,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
85,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
86,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
87,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
88,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
89,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
90,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
91,1,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
92,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
93,1,0.031, 0.000, 0.000, 0.000, 0.000, 0.000, 0.031, 200 
94,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
95,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
96,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
97,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
98,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
99,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
100,1,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
101,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
102,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
103,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
104,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
105,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
106,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
107,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
108,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
109,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
110,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
111,1,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
112,1,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
113,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
114,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
115,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
116,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
117,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
118,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
119,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
120,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
121,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
122,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
123,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
124,1,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
125,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
126,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
127,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
128,1,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
129,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
130,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
131,1,0.024, 0.000, 0.000, 0.000, 0.000, 0.000, 0.024, 200 
132,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
133,1,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
134,1,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
135,1,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
136,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
137,1,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
138,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
139,2,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
140,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
141,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
142,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
143,2,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
144,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
145,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
146,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
147,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
148,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
149,2,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
150,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
151,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
152,2,0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 200 
