request_num, curr_time,time_total, time_namelookup, time_connect, time_appconnect, time_pretransfer, time_redirect, time_starttransfer, http_code
1,0,1.078, 0.000, 1.002, 0.000, 1.002, 0.000, 1.078, 200 
2,1,0.015, 0.000, 0.000, 0.000, 0.000, 0.000, 0.015, 200 
3,1,0.040, 0.000, 0.000, 0.000, 0.000, 0.000, 0.040, 200 
4,2,0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, 200 
5,2,0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 200 
6,2,0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 200 
7,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
8,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
9,2,0.016, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, 200 
10,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
11,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
12,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
13,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
14,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
15,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
16,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
17,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
18,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
19,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
20,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
21,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
22,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
23,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
24,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
25,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
26,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
27,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
28,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
